record_id,redcap_survey_identifier,language_survey_timestamp,language_survey_complete,survey_questions_timestamp,age,gender,gender_other,race_culture___1,race_culture___2,race_culture___3,race_culture___4,race_culture___5,race_culture___6,race_culture___8,race_culture___9,race_culture___11,race_culture___13,race_culture___14,race_culture___15,race_culture___16,race_culture___999,race_culture___17,race_culture___18,race_culture_other,med_year,med_year_other,children,specialty,specialty_reason,specialty_change,discouragement,discouragement_reason,family_compatible,family_concerns_det,workload_det,add_training_det,hours_involved_det,stress_levels_det,mentor_barrier,family_support,enough_exposure,equal_rep_res,equal_rep_atten,gender_bias_evi,concern_gender_bias,my_mentor_is_a,orthopaedics,general_surgery,ob_gyn,vascular_surgery,urology,ent,plastic_surgery,neurosurgery,cardiac_surgery,are_there_any_other_specif,survey_questions_complete
1,,"2022-10-06 10:51:09",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,"2022-10-10 15:06:28",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,,"2022-12-16 05:47:43",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,,"2022-12-16 05:55:27",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,,"2022-12-16 06:46:29",2,"2022-12-16 06:51:52",24,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3,,0,0,"I don't see myself as being that much hands on. Also the culture and work life balance is not something I see myself enjoying in the future. The residents work an insane amount of hours and have to function on next to no sleep which I doesn't appeal to me. The culture of surgery can also be intimidating and it can be a very unwelcoming environment. ","Culture change",0,,1,3,5,2,5,2,3,2,4,4,2,4,2,4,"Gender bias (mostly male), poor culture, life in residency ","Life in residency",,,,,,,,,2
6,,"2022-12-16 06:51:25",2,"2022-12-16 06:52:25",24,1,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,3,,0,0,"Mysoginy and the residency",,1,,1,5,5,5,5,5,2,5,3,1,1,5,5,2,,,,,,,,,,,2
7,,"2022-12-16 07:00:04",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
8,,"2022-12-16 07:02:48",2,"2022-12-16 07:07:20",25,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3,,0,1,,,1,"Several surgical residents stating ""life sucks"" ""the residency is too much work"" ""you don't make enough money for the work""",4,2,3,1,3,4,4,1,4,2,2,5,4,4,,,"Female dominated. Men are sometimes refused by patients limiting experience and making me concerned about a possible future career.",,,,"Aesthetic surgery is part of plastic surgery that can be viewed as a self esteem building factor in a patient's life, which is an important part of her healthcare. Attendings who participate in interviews have stated that mentioning aesthetic surgery is a detriment to interviewees despite it being a part of the specialty.",,,,2
9,,"2022-12-16 07:08:43",2,"2022-12-16 07:11:28",29,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,,0,0,,,1,,2,4,4,5,5,2,4,2,4,4,4,2,1,2,,,,,,,,,,,2
10,,"2022-12-16 07:08:53",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,,"2022-12-16 07:11:28",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,,"2022-12-16 07:13:09",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,,"2022-12-16 07:21:07",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,,"2022-12-16 07:33:42",2,"2022-12-16 07:38:21",26,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,4,,0,0,"Lifestyle mainly, and personalities that I worked with in surgery are not what I look for in a colleague","Better work-life balance, especially in residency but also as an attending  Culture is toxic with a lot of people who are egotistical and ""type A"" - worked with a lot of hot heads who only cared about themselves and not the others in the OR room or the patient",0,,2,3,4,2,4,3,2,3,4,3,4,3,3,1,,,,,,,,,,,2
15,,"2022-12-16 07:41:51",2,"2022-12-16 07:45:10",25,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,4,,0,0,"I was very interested in a surgical specialty and was planning on pursuing, but in third year rotations I experienced a different specialty that better fit with my overall goals and values as a future physician ","I only had very positive experiences in surgery. There was nothing about the culture or expectations that turned me away from the specialty. ",0,,4,2,1,2,2,2,2,2,4,2,1,4,2,1,,,,,,,,,,,2
16,,"2022-12-16 07:44:54",2,"2022-12-16 07:48:10",26,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,,0,0,"Learning Culture, time demand, ","The culture around having a life outside of surgery is almost frowned upon and looked at as being less committed to the speciality. The mentality that surgeons are the ""top dogs"" ",0,,2,3,2,2,4,2,3,3,4,2,2,4,4,1,"No jobs ","""Top dog"" mentality ","The culture ","Time demand ",,,,,,,2
17,,"2022-12-16 07:52:06",2,"2022-12-16 07:57:12",25,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,,0,0,"Long and unpredictable hours, poor work-life balance, culture is not very friendly and does not seem to prioritize personal wellbeing","The above listed factors would have to be improved",1,"Not a specific situation, rather than a combination of trainees and staff in surgical and non-surgical specialties advising against it, mainly due to mentions of poor work life balance, high stress",3,3,5,5,5,5,2,1,5,3,3,2,1,4,,,,,,,,,,,2
18,,"2022-12-16 07:54:18",2,"2022-12-16 08:07:22",24,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,3,,0,0,"The lifestyle during residency.","The hours during residency don't seem healthy or safe to me, particularly residents working ""home call"" for 72 hours when they're in the hospital operating for most of those hours. There's also a culture of devoting your life to the operating room, even when you're a staff surgeon, that I don't agree with. ",1,"I've been open with many peers and non-surgical residents about my desire to pursue family medicine, and have been told that's a good idea and that pursuing surgery isn't. I've had many surgical residents be very encouraging about my pursuing surgery should I want it, but they're honest about their hours and the challenges they face. ",1,5,5,4,4,2,1,3,2,4,1,4,2,4,"The ""bro"" culture. Gender bias and sexism.","The hours. The stress load and acuity of many patients.","Mean culture. ","The competitiveness and hours. ","The competitiveness and hours.","The competitiveness.","The competitiveness and hours.","The competitiveness, hours, and lack of job opportunity when done residency.",,"Having to do a fellowship after training to be competitive. The lack of freedom in choosing where you want to live and practice even when you're done training. ",2
19,,"2022-12-16 08:02:55",2,"2022-12-16 08:12:27",24,1,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,3,,0,0,"Because of the staff/residents. not the type of people I would want to work with- minimal collegiality  ","Absolutely. Surgery itself is wonderful. it's life saving. it's interesting. Unfortunately, the second I stepped into clerkship in surgery, I was made to feel unwelcome. unlike other specialities where they try to convince the clerk to join, surgeons do the opposite.  The communication between surgeons to patients is also appalling, to be frank. I have never witnessed such crude breaking of bad news than I did in my surgery block.  ",1,"So many events. I will say that the orthopaedic surgeons I worked with were incredible and they said Inwould be great. I was mostly discouraged from pursuing general surgery - mostly by the residents who said if I have any hobbies outside or medicine, or if i want a family, or if i want to be happy, i shouldn't do it. ",2,5,2,1,5,2,5,1,4,4,1,5,5,4,"I got along with them very well. they were awesome to me. that being said, and i will be frank, i am a sporty person. They were not as kind (residents) to my classmates who were not sporty, or who did not belong to the ""bro"" club. ","everything was a barrier. ","na ",,"na ","na ","na ","na ","terribly rude to absolutely all students ","I think I covered it. thank you for this survey. I apologize for how blunt my responses were, but i hope it helps with future decision making ",2
20,,"2022-12-16 08:27:58",2,"2022-12-16 08:31:40",26,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,0,0,"difficult lifestyle in residency, poor job market, poor mobility, workplace culture does not prioritize work/life balance","better work-life balance",1,"General comments from people outside the speciality ",1,2,5,5,5,5,4,4,2,4,4,2,4,4,,,"too many call shifts",,,,,,,,2
21,,"2022-12-16 08:29:45",2,"2022-12-16 08:34:07",24,1,,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,3,,0,0,"Culture of surgery, long hours, long residency, I can see a life other than surgery","More work life balance. Culture such that eating lunch at lunch time is not considered slacking etc. ",0,,2,4,5,5,5,5,3,4,4,3,2,3,2,4,"None but other surgeons think you dont understand medical Problems ","Long hours, notorious for shame learning","Being male","Have to like long surgeries ","Being female",None,None,"Need a PhD",None,No,2
22,,"2022-12-16 08:42:49",2,"2022-12-16 08:45:35",25,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,4,,0,0,"Not skilled with hands. Prefer lifestyle specialties.",No,0,,3,1,5,2,5,5,1,1,3,4,1,4,3,4,,,"Toxic attitudes among trainees, difficult to foster close relationships. ",,,,,,,,2
23,,"2022-12-16 08:46:15",2,"2022-12-16 23:01:57",26,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,3,,0,0,,"5am starts and poor job prospects after with no work life balance was challenging to consider it as a specialty. ",0,,2,5,3,4,5,3,3,4,2,3,3,3,2,4,,,,,,,,,,"Poor job prospects in Canada. The need to do US fellowships.",2
24,,"2022-12-16 09:02:03",2,"2022-12-16 09:06:15",25,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,,0,1,,,0,,4,2,1,2,3,3,3,1,4,4,1,4,2,1,"It's a 'bro's club' and you need to be quite strong. When I've been in ORs with ortho it's been a lot of sports talk that i cannot participate in ",None,None,"No specific barriers but no exposure ","Similar to ortho, feels like a men's club","None but no exposure ","None but no exposure ","Was specifically told by female residents not to expect to have any family life and was told there were no jobs","Did not hear the best reputation about the trainees here, was told there were some anti-Semitic comments made to a fellow medical student ",,2
25,,"2022-12-16 09:02:07",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,,"2022-12-16 09:06:59",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,,"2022-12-16 09:12:09",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,,"2022-12-16 09:51:16",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,,"2022-12-16 09:56:26",2,"2022-12-16 09:59:13",25,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,4,,0,0,"I was not interested in the hours, always being tied to the hospital.",,1,"Told not to do surgery if wanted a family - will have little time for them. ",3,1,4,4,4,2,2,2,2,2,2,4,4,4,"No jobs","Male dominated","No respect from other surgical disciplines ",N/a,"N/a ",N/a,N/a,N/a,"Workload ",N/a,2
30,,"2022-12-16 10:10:04",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,,"2022-12-16 10:22:13",2,"2022-12-16 10:28:09",24,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,,0,0,"During my surgical rotations I experienced extremely disrespectful behaviour of staff towards residents and medical students. Name calling, insinuating stupidity. Extreme arrogance. I would never want to be associated with this profession. ","The culture ",0,,1,3,4,2,5,4,4,2,5,2,2,4,2,4,,"Rude and disrespectful staff ",,,,,,,"Rude and disrespectful staff ",,2
32,,"2022-12-16 12:02:25",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,,"2022-12-16 12:15:02",2,"2022-12-16 12:17:50",24,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,0,1,,,0,,4,4,3,2,2,2,2,5,5,4,2,5,4,1,,,,"Only 10 spots across Canada per year, difficulty establishing rapport with relevant personnel at home campus because I am at a satellite campus, difficulty creating opportunities outside of scheduled learning during clerkship to gain specific skills in this field to impress on fourth year electives",,,,,,,2
34,,"2022-12-16 12:36:47",2,"2022-12-16 12:41:05",25,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,3,,0,0,"Lifestyle; culture; personalities.","I would pursue if it weren't for the above reasons",0,,1,3,4,3,5,2,2,1,5,4,4,4,3,4,"Gender issues; lifestyle (hours); bullying","Bullying; lifestyle; personality ","Not experienced ","Not experienced ","Lifestyle (hours) ","Not experienced ","Not experienced ","Not experienced ","Not experienced ","Mostly lifestyle, attending personalities, sometimes toxic culture, sometimes bullying ",2
35,,"2022-12-16 13:34:38",2,"2022-12-17 00:33:33",25,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,0,1,,,1,,4,2,5,5,5,4,4,1,4,4,1,4,4,2,,,,,,,,,,,2
36,,"2022-12-16 16:17:50",2,"2022-12-16 16:19:44",24,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,0,0,,"lifestyle factors",1,,2,4,5,2,4,5,2,2,3,3,1,4,4,2,,,,,,,,,,,2
37,,"2022-12-16 16:31:15",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
38,,"2022-12-16 16:56:36",2,"2022-12-16 17:01:59",,2,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,4,,0,0,culture,"Hierarchical culture, call requirements, limiting job opportunities (depending on the specialty) and overall poor work-life balance ",,,4,3,5,4,5,5,4,3,5,4,2,2,2,4,"Poor job market and poor work-life balance, especially as a resident","toxic culture","bias as a male and difficult residency",,"Niche specialty","Niche specialty, highly competitive for CARMS","Highly competitive for CARMS","Poor work life balance and call requirements","Poor work life balance and job market",,2
39,,"2022-12-16 17:03:57",2,"2022-12-16 17:07:01",26,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,,0,0,"Don't enjoy operating enough to deal with all the culture issues ","Long hours, mean environment for learners, over worked compared to other specialities, etc",0,,2,3,5,5,5,4,1,1,4,3,2,4,3,1,,,,,,,,,,,2
40,,"2022-12-16 23:43:28",2,"2022-12-16 23:47:28",25,1,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,,0,0,"Because the residency and staff life is too demanding and is not conducive to having a life outside of medicine, from what I've seen and heard.","Yes, if the culture was more supportive of having a life outside of medicine.",1,"Docs, both surgeons and non surgeons, telling me that you have to be a work a holic to go into surgery",2,5,5,4,5,5,4,2,4,1,1,5,4,4,,,,,,,,,,,2
41,,"2022-12-17 23:35:10",2,"2022-12-17 23:41:32",29,2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,0,0,"Long hours, weekend long call as senior resident, expected to not take post call days, majority of residents do not seem happy. Most likely will have to do a fellowship as well","Better call system, protected post call days.",0,,1,5,4,4,4,2,3,3,2,5,4,2,1,1,"Ortho trauma block was extremely difficult. Very long hours, with very early rounding times. ","Senior residents looked unhappy. Senior residents I worked with did not treat me with respect and talked down to me.",,"Did not have a rotation in this.","Did not have a rotation in this.","Did not have a rotation in this.","Did not have a rotation in this.","Did not have a rotation in this.","Did not have a rotation in this.",,2
42,,"2022-12-18 17:11:31",2,"2022-12-18 17:13:01",27,2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,0,0,"Lifestyle, particularly in residency","More humane residency (in terms of hours especially)",1,,2,4,5,3,5,3,2,2,4,2,2,3,3,4,,,,,,,,,,,2
43,,"2022-12-19 10:27:34",2,"2022-12-19 10:35:17",29,1,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,4,,0,0,"Reasons for enjoying surgery not the reasons I went into medicine. Would not be able to maintain the work-life balance I'm looking for at this stage of my life. ","Less 'all consuming' residency training. More extensive patient interactions.",0,,2,5,3,3,4,3,2,4,3,4,2,4,2,4,,,,,,,,,,,2
44,,"2022-12-19 12:14:05",2,"2022-12-19 12:21:46",24,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,3,,0,0,"Length & intensity of training, culture, difficulty to manage family & relationships, technical skill, endurance needed, ability to survive on little sleep","Culture shift, shorter shifts/less call",1,"On ""a surgical block"", I was told that it would be hard to do ""said surgical block"" (which I am still semi interested in) unless I had a supportive partner with a ""less intense/demanding"" job; and told it would be difficult to handle as my current partner is also in professional school for an intense/demanding career",2,5,5,3,5,4,3,4,3,2,3,4,4,4,"male dominated, ""ortho bro"" stereotype",,"difficult call schedule/long hours, apparently needed to figure out this was a specialty I wanted earlier on in med school than clerkship to have a good chance at matching",,,competitive,competitive,"no job prospects aha","limited job prospects",,2
45,,"2022-12-19 13:48:49",2,"2022-12-19 13:51:23",26,2,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,4,,0,0,"Training is too long. Culture of surgical subspecialties can be unsupportive. I'm more interested in a more general field. ",,0,,2,3,5,5,4,3,2,2,4,3,2,2,2,4,,,,,,,,,,,2
46,,"2022-12-19 16:38:40",2,"2022-12-19 16:47:20",25,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Ashkenazi Jewish",4,,0,0,"Interested in primary care.",Unlikely.,0,,4,1,4,4,4,4,1,1,5,5,1,5,3,4,"Requires fellowship(s) to find a job in Canada. Long hours in residency. Subspecialization means doing the same surgeries repeatedly.","High call burden throughout residency and as staff. Culture not supportive.","Patients prefer feminine-presenting providers.","High-stress surgeries. Long cases. Personally uninterested.","Limited variety of pathology. Personally uninterested.","Personally uninterested.","Pretentious work culture.","Long training time. Poor outcomes.","Minimal variety in surgeries. Long cases. Personally uninterested.",,2
47,,"2022-12-20 11:59:57",2,"2022-12-20 12:02:28",29,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jewish,4,,0,0,"job opportunities, length of training, decision made with partner","Job opportunity and flexibility",0,,3,3,4,4,3,4,2,4,4,2,1,4,2,2,,,,"no exposure during medical school",,,,"no exposure during medical school","no exposure during medical school",,2
48,,"2023-01-02 23:04:06",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
49,,"2023-02-01 18:09:54",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
50,,"2023-02-01 18:10:04",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51,,"2023-03-19 17:13:48",2,"2023-03-19 17:17:38",24,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,,0,1,,,1,"Surgeons at different club events have mentioned that it is a very difficult career choice and that they recommend that if I am passionate about something other than surgery then to pursue that.",2,4,4,1,4,4,2,1,1,2,2,3,4,4,"Very male dominated field with a ""fratty"" atmosphere",,"Very intense call schedule and hours. Very high highs but very low lows.",,,,,,,,2
52,,"2023-03-22 16:04:00",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
53,,"2023-03-22 16:14:46",2,"2023-03-22 16:21:48",25,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,0,1,"Because I am interested in a hands-on specialty, and like the skill-based nature of general surgery.",,1,"I was discouraged by an IM doctor to pursue general surgery due to the challenges in having a family during surgical training. I have also been discouraged by surgeons who said to pursue specialities like gastroenterology instead for the same reason.",3,1,2,1,1,2,5,1,2,4,2,5,5,2,"Heavily male-dominated feild deters females from pursuing.May be challenging for women to find mentors in this field. ","Difficult residency, which also occurs during years where most woman would start to think about having children. ","Overall, most OB/GYN attendings and residents I have met are not particularly nice people. ","Male-dominated field. Patient population is extremely old and complex. outcomes are poor. ","Male-dominated field. May get bias from patients as a urologist who is a woman. ","I do not know much about this field. ","i feel that representation between men and women is quite good in this field. Lifestyle also seems better than other surgical specialties. ","Male dominated. Long residency and very limited jobs. ","I do not know much about this field. ",No,2
54,,"2023-03-22 16:31:23",2,"2023-03-22 16:39:05",,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3,,0,0,"The culture is terrible in my experience. The hours are unnecessarily long. Not worth it.","Hours need to be more reasonable (and YES it can be done). We need post call days. No one should be operating post call. The culture needs to change. Stop treating each other like angry entitled children. ",0,,1,5,1,1,4,1,4,1,3,1,1,4,4,4,,"Culture is by far the worst within all surgical specialties","Second worse culture.","My favourite surgical rotation",,,,,"The fact that you are repeatedly told there are no jobs in Canada for you after you graduate and you have to love to the US was a major reason I walked away from this. This was a huge interest of mine and I still think about it. ","I would've loved to pursue surgery. I'm not afraid of working hard, or working hard and for long hours, but the lack of post call days and the terrible culture that is so easily palpable and so many of the surgical subspecialties that I have been exposed to just make it a really uninticing option",2
55,,"2023-03-22 16:33:03",2,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
